source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1971;recent bycatch;Dingle;Ireland;NH:1971.43.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1912;recent;Wexford;Ireland;NH:1912.225.1;Yes;includes teeth;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skull;;1932;NA;;NA;NH:1932.18.1;NA;date unsure;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;NA;NA;;NA;NH:2008.85.133;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;NA;NA;Ventry;Ireland;NH:2008.85.134;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1993;recent stranding;Dún an Óir;Ireland;NH:1999.14.1;Yes;head bones only?;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1992;recent stranding;Oysterhaven;Ireland;NH:1999.11.1;Yes;head bones only?;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1992;recent stranding;Aughrusbeg;Ireland;NH:1999.12.1;Yes;head bones only?;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;1912;NA;Wexford;Ireland;NH:1912.225.2;Yes;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skull;;1985;recent stranding;Skerries;Ireland;NH:1987.24.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;delphis;Common dolphin;skeleton;;NA;NA;;NA;NH:2007.10.6;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;NA;NA;skeleton;;1933;NA;Cartron Bay;Ireland;NH:1933.68.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;NA;NA;skeleton;;1933;NA;Cartron Bay;Ireland;NH:1933.68.2;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;NA;NA;skeleton;;NA;NA;;NA;NH:2004.14.3;NA;NA;
National Museum Ireland (NMI);email;NMI;Delphinus;NA;NA;skeleton;;NA;NA;;NA;NH:2008.85.705;NA;NA;
National Museum Ireland (NMI);email;NMI;Globicephala;mephas;Long-finned pilot whale;skull;;1929;fossil;Rosslare Strand;Ireland;NH:1930.106.2;Yes;"date unsure, possibly fossil: found in 1900s when coast erosion was taking place ; teeth?";
