Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
London,1965.3.30.2,18.833,19.237,9.052,20.615,6.194,1960,"St. Leonards, Sussex",United Kingdom,M,NA,NA,NA,,,,
London,1951.12.14.1,22.496,22.371,11.198,24.467,7.669,NA,Port Etienne,Mauritiana,M,NA,NA,NA,,,,
London,1950.9.19.1,21.383,21.427,10.007,23.510,7.412,1950,"Maryport, Cumberland",United Kingdom,M,NA,NA,NA,,,,
London,SW.1956-11,19.677,20.053,8.882,20.696,6.490,1956,"Kingsgate Bay, Kent",United Kingdom,M,NA,NA,NA,right maxilla slightly broken,,,
London,SW.1965.36,19.173,NA,8.549,19.814,6.557,NA,"Gibraltar Point, Lincolnshire",United Kingdom,NA,NA,NA,NA,right maxilla too broken to measure,,,
London,SW.1950-28,21.444,21.579,9.720,22.924,6.963,1950,"Gorleston, Suffolk",United Kingdom,F,NA,NA,NA,,,,
London,365,21.958,22.475,10.039,22.210,6.885,NA,"Polperro, Cornwall",United Kingdom,NA,NA,NA,NA,"ventral pics are blurry, thus measurements might be inaccurate",,,
Rotterdam,9990-01450,17.628,NA,8.545,21.512,5.412,2002-03-14,"Zuid-Holland, Wassenaar",Netherlands,NA,NA,NA,NA,Right maxilla broken,,,
Rotterdam,9990-002886,17.966,17.932,8.600,21.555,5.795,NA,Dutch coast,Netherlands,M,NA,NA,NA,wonky looking,,,
Rotterdam,9990-01430,20.463,20.274,9.626,24.275,6.708,2003-12-23,Grote Keeten,Netherlands,NA,NA,NA,NA,deformed or broken on the side,,,
Rotterdam,9990-01427,20.277,20.434,9.589,24.395,6.069,2002-04-29,"Zeeland, Schouwen-Duiveland, Oosterschelde",Netherlands,NA,NA,NA,NA,Right rostrum end slightely broken off,,,
Rotterdam,9990-01428,21.615,21.481,10.255,25.419,7.161,2001-03-24,Noord-Holland,Netherlands,M,NA,NA,NA,,,,
Rotterdam,9990-01425,20.765,20.854,9.784,24.395,6.852,1999-12-02,"Noord-Holland, Callantsoog",Netherlands,F,MA,NA,NA,,,,
Rotterdam,9990-0162,20.103,20.365,9.740,25.230,7.272,1976-12-00,"Noord-Holland, Texel, De Hors",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0327,22.264,22.510,10.503,26.869,7.474,1979-01-00,"Zuid-Holland, Waassenaarse Slag",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0318,19.451,19.207,9.367,23.611,6.556,1998-05-05,"Zuid-Holland, Waassenaarse Slag",Netherlands,F,123.0,23.0,NA,,,,
Rotterdam,9990-0312,19.066,18.717,9.134,22.696,7.024,NA,"Friesland, Vlieland",Netherlands,M,140.0,NA,adult,,,,
Rotterdam,9990-0311,22.551,2.331,10.438,25.856,6.592,1988-02-28,"Friesland, Terschelling",Netherlands,M,115,22.0,juvenile,,,,
Rotterdam,9990-0317,15.807,15.825,7.582,19.436,5.913,1993-04-00,"North Sea, southern parts",Netherlands,F,NA,NA,juvenile,,,,
Rotterdam,9990-0316,20.195,20.705,9.624,25.309,7.060,1998-01-23,"North Sea, southern parts",Netherlands,F,154,NA,adult,with fetus,,,
Rotterdam,9990-0315,20.344,20.840,9.937,25.649,6.356,1978-08-08,"Vlieland, Vliehors",Netherlands,NA,NA,NA,adult,,,,
Rotterdam,9990-0319,21.927,22.176,10.629,25.925,6.925,1988-03-18,"Friesland, Vlieland",Netherlands,M,115,24,juvenile,,,,
Rotterdam,9990-0321,19.597,19.432,9.487,25.046,6.861,1997-00-00,North Sea,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0322,19.531,19.580,9.372,23.091,6.067,1998-01-03,"Noord-Holland, Egmond aan Zee",Netherlands,M,115,20,NA,,,,
Rotterdam,9990-0320,19.282,19.517,8.834,23.423,6.268,1988-11-18,"Zuid-Holland, Katwijk",Netherlands,M,130,30,adult,,,,
Rotterdam,9990-0295,18.675,18.680,8.842,22.632,6.735,1999-01-22,"North Sea, bycatch 10km from the west side of West Kapelle",Netherlands,M,117,19,juvenile,called subadult,,,
Rotterdam,9990-0165,22.059,22.602,11.012,26.687,7.054,1996-02-25,"Noord-Holland, Bloemendaal",Netherlands,F,162,51.5,adult,with fetus,,,
Rotterdam,9990-0299,19.694,19.924,9.222,23.765,6.300,1997-03-22,"Zuid-Holland, Hoek van Holland",Netherlands,F,113.5,20,juvenile,,,,
Rotterdam,9990-0296,21.032,20.890,9.836,24.386,6.818,1999-02-19,"North Sea, south Steenbank",Netherlands,F,122,24.8,NA,,,,
Rotterdam,9990-0297,20.707,20.732,9.487,24.082,6.502,1999-01-16,"Zeeland, Zeeuws-Vlaanderen",Netherlands,F,146.5,40,adult,,,,
Rotterdam,9990-0301,NA,NA,NA,15.073,5.115,NA,"North Sea, Dutch coast",Netherlands,F,85,12,NA,"fragmented skull, only occipital condyles measureable, I attempted to get condybasal length too but rostrum not complete",,,
Rotterdam,9990-0300,20.303,20.937,10.002,25.585,5.959,1999-06-26,North Sea,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0303,18.929,19.203,8.931,24.363,6.825,1999-05-07,"Zuid-Holland, Meyendaalse Slag",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0302,21.804,21.725,9.828,26.239,7.151,1999-01-24,"Zeeland, Burgluis",Netherlands,F,NA,NA,adult,weirdly slim skull,,,
Rotterdam,9990-01403,19.964,20.356,9.462,24.095,6.025,2000-03-07,"Zuid-Holland, Wassenaarse Slag",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-01404,20.796,20.544,9.913,25.139,6.938,1999-11-05,"Noord-Holland, Den Helder",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-01507,20.113,20.334,9.821,NA,NA,1993-04-00,North Sea,NA,NA,NA,NA,NA,"broken skull, no condyles, maxilla could be longer",,,
Rotterdam,9990-01505,20.690,21.656,10.275,25.783,7.104,1993-06-00,North Sea,United Kingdom,NA,NA,NA,NA,,,,
Rotterdam,9990-01508,19.225,19.032,9.116,23.494,6.541,NA,North Sea,United Kingdom,NA,NA,NA,NA,,,,
Rotterdam,9990-01511,22.191,22.142,9.904,25.687,6.691,1993-06-00,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-01512,21.063,21.630,10.432,23.538,NA,1993-06-00,North Sea,United Kingdom,NA,NA,NA,NA,condyles broken off,,,
Rotterdam,9990-01509,21.854,21.941,11.073,NA,NA,1993-04-00,North Sea,NA,NA,NA,NA,NA,"condyles missing, no pic of dorsal side",,,
Rotterdam,9990-01510,19.366,18.619,9.338,22.973,7.251,1993-04-00,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-01513,NA,NA,10.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,"broken skull, only rostrum there",,,
Rotterdam,9990-01506,20.042,20.924,10.013,NA,NA,1993-04-00,North Sea,United Kingdom,NA,NA,NA,NA,"broken skull, only rostrum and maxilla available",,,
Rotterdam,9990-1360,NA,NA,NA,NA,5.982,1995-04-02,"Noord-Holland, Den Helder",Netherlands,NA,NA,NA,NA,only condyles available,,,
Rotterdam,9990-1359,20.906,21.311,9.672,25.201,7.513,1995-11-25,"Zuid-Holland, Scheveningen",Netherlands,F,NA,49.5,NA,,,,
Rotterdam,9990-1354,17.739,17.980,8.316,20.609,5.905,2001-04-15,"Netherlands, Groningen",Netherlands,F,NA,17.0,NA,,,,
Rotterdam,9990-1343,16.319,16.447,7.807,20.012,5.736,2001-04-05,"Friesland, Terschelling",Netherlands,M,NA,14.0,NA,,,,
Rotterdam,9990-1350,NA,NA,NA,17.792,6.298,2000-08-21,"Friesland, Vlieland",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1344,21.086,20.930,9.753,25.242,7.130,2000-06-27,"Zeeland, Zuid-Beveland",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1358,17.507,17.894,8.659,21.988,5.931,NA,"Noord-Holland, Zandvoort",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1353,21.179,21.287,10.145,24.691,6.726,NA,"Friesland, Harlingen",Netherlands,M,NA,48.0,NA,,,,
Rotterdam,9990-1355,NA,NA,NA,23.014,5.976,2000-01-26,"Friesland, Vlieland",Netherlands,F,NA,23.8,NA,ventral side pic missing,,,
Rotterdam,9990-1405,17.719,18.034,8.785,22.061,5.608,2000-03-24,"Zuid-Holland, Noordwijk aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1408,16.461,16.721,7.914,20.306,5.637,2000-02-10,"Noord-Holland, Egmond aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1409,17.112,17.249,8.178,21.520,5.654,2000-02-24,"Zuid-Holland, Noordwijk aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-0319,15.807,15.992,7.529,19.607,5.587,1988-03-18,"Friesland, Vlieland",Netherlands,M,115,24.0,juvenile,,,,
Rotterdam,9990-0328,19.517,19.469,9.067,21.854,6.220,1998-07-16,"Noord-Holland, (Strand) Petten",Netherlands,F,104.5,15.0,juvenile,,,,
Rotterdam,9990-0324,21.976,21.831,10.473,26.337,6.745,1997-03-26,"Zeeland, Walcheren, Zoutelande",Netherlands,NA,NA,NA,NA,"rostrum a bit broken, condylosbasal length and rostrum length a bit smaller due to damage",,,
Rotterdam,9990-0336,21.494,21.858,10.407,25.595,7.550,1999-02-12,"Zuid-Holland, Hoek van Holland",Netherlands,M,119,26.0,juvenile,,,,
Rotterdam,9990-0332,19.683,20.144,9.124,23.724,6.546,1998 (summer),Nederlands kust (exact location unknown),Netherlands,F,138,31,adult,,,,
Rotterdam,9990-0331,19.039,19.444,9.469,23.432,6.947,1997-03-03,"Noord-Holland, Egmond aan Zee",Netherlands,M,139,33,adult,,,,
Rotterdam,9990-0330,18.604,18.686,8.941,22.505,5.754,1997-02-25,North Sea,NA,NA,NA,NA,NA,,,,
Rotterdam,9990-0404,21.605,22.066,10.207,25.783,7.202,1998-01-29,"Texel, De Hors",Netherlands,F,153,42.0,adult,,,,
Rotterdam,9990-0405,20.795,20.430,10.128,24.705,6.671,1998-03-19,Katwijk aan Zee,Netherlands,F,124,30.5,juvenile,called subadult,,,
Rotterdam,9990-0409,21.450,22.076,10.493,26.258,7.353,1998-08-25,Monster,Netherlands,F,151,35.0,adult,,,,
Rotterdam,9990-0406,19.855,20.219,9.123,23.510,6.602,1999-02-03,Terheijde,Netherlands,M,131,22.0,adult,,,,
Rotterdam,9990-3026,20.966,21.637,10.031,25.553,6.868,2002-10-05,Zeehondencreche,Netherlands,M,136,33.94,NA,,,,
Rotterdam,9990-0341,21.045,21.375,10.537,25.830,6.688,1998-10-29,Castricum Strandpaal,Netherlands,F,154,45.4,adult,,,,
Rotterdam,9990-0343,21.911,22.010,10.882,27.116,6.898,1999-07-28,"Camperduin, Noord-Holland",Netherlands,M,147,40.0,adult,,,,
Rotterdam,9990-0342,20.305,20.429,9.527,23.982,6.686,1997-12-14,"Noord-Holland, Texel, De Hors",Netherlands,M,142,40.0,adult,,,,
Rotterdam,9990-1339,19.168,19.556,9.648,22.849,6.082,1999-03-4,"Noord-Holland, Texel",Netherlands,F,116,28.5,NA,,,,
Rotterdam,9990-1338,22.541,22.347,10.250,25.918,7.077,2001-09-08,"Noord-Holland, Egmond aan Zee",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1361,21.653,21.669,9.939,25.642,7.197,1996-11-00,"Zuid-Holland, Goeree, Goedereede",Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1401,16.145,15.945,7.711,20.155,6.249,1996-06-24,Schoorl,Netherlands,NA,NA,NA,NA,,,,
Rotterdam,9990-1400,22.133,21.596,10.616,26.218,6.904,1999-01-22,10km north of West Kapelle,Netherlands,NA,NA,NA,NA,,,,
